posting_id,locations
1,FL
1,SC
1,VA
1,KY
1,AR
1,OH
1,IN
1,PA
1,MO
1,MI
1,WI
1,MI
1,NE
1,MN
1,ND
1,AZ
1,UT
1,ID
2,FL
2,SC
2,NC
2,VA
2,KY
2,AR
2,OH
2,OH
2,IN
2,PA
2,MO
2,OH
2,MI
2,WI
2,NE
2,MN
2,ND
2,AZ
2,UT
2,ID
3,FL
4,FL
5,GA
5,TX
5,PA
5,IL
5,NY
5,MA
5,MN
5,AZ
5,CA
5,CA
5,WA
6,NY
7,FL
7,NY
8,GA
9,FL
10,NY
11,MA
12,WI
13,FL
14,FL
15,CA
16,FL
17,FL
18,FL
18,NY
19,NY
20,FL
21,SC
22,FL
23,FL
24,DC
25,FL
26,
27,FL
28,FL
28,FL
29,NY
30,FL
30,NY
31,PA
32,GA
33,NC
34,MA
35,TX
36,CT
37,CT
38,CT
39,CT
40,CT
41,IL
42,FL
43,FL
44,MD
45,PA
46,PA
47,PA
48,PA
49,PA
50,PA
51,PA
52,PA
53,PA
54,PA
55,PA
56,PA
57,PA
58,PA
59,PA
60,PA
61,PA
62,PA
63,PA
64,PA
65,FL
65,FL
65,FL
65,FL
65,FL
65,FL
66,CA
66,CA
66,CA
67,MA
67,MA
68,MA
69,KY
70,FL
71,FL
72,PA
73,WA
74,NC
75,PA
76,PA
77,NJ
78,FL
79,GA
79,TN
79,NC
80,PA
81,FL
82,FL
83,FL
84,FL
84,FL
84,FL
84,FL
84,FL
85,FL
85,FL
85,FL
85,FL
85,FL
85,FL
86,WI
87,FL
88,NJ
89,FL
90,FL
91,FL
91,FL
91,FL
92,FL
92,FL
93,FL
94,CA
95,TN
96,FL
97,CA
98,
99,FL
100,TX
101,NV
102,FL
103,NY
104,PA
105,PA
106,FL
107,FL
108,VA
108,DC
109,CT
110,NJ
111,FL
112,FL
113,CA
114,CA
115,TX
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,TN
126,PA
127,CO
128,
129,VA
130,FL
131,CT
132,FL
133,DE
134,MD
135,NY
136,AL
137,FL
138,MD
139,MD
140,MD
141,IA
142,FL
143,FL
143,FL
144,CA
145,CA
146,FL
147,NJ
148,NY
149,VA
150,LA
151,PA
152,
153,FL
154,CO
155,CO
156,CO
157,CO
158,CO
159,NY
160,AK
160,AK
160,AK
160,AK
160,AK
161,NJ
161,AZ
162,NJ
163,WI
164,FL
164,NC
164,NJ
164,RI
164,MA
164,AZ
165,FL
166,FL
167,FL
168,FL
169,CA
170,CA
171,CA
172,NC
173,NY
174,FL
174,AL
174,GA
174,MO
175,RI
176,NY
177,FL
178,FL
179,MA
180,TX
181,TX
182,NY
182,CT
182,NY
182,MA
183,VA
184,SD
185,PA
185,NY
185,MA
186,PA
187,TX
188,TX
189,CA
190,FL
191,CA
192,TX
193,MA
194,
195,
196,
197,
198,
199,FL
200,FL
201,TX
202,FL
203,FL
204,FL
205,FL
206,FL
206,FL
206,FL
207,VA
207,OH
208,FL
209,FL
210,FL
211,CO
212,CO
213,TN
214,FL
215,FL
216,FL
217,FL
218,VA
219,FL
220,FL
221,FL
222,FL
223,TX
224,FL
225,FL
