posting_id,locations
1,FL
2,FL
3,GA
3,TX
3,PA
3,IL
3,NY
3,MA
3,MN
3,AZ
3,CA
3,CA
3,WA
4,GA
5,FL
6,FL
7,CA
8,FL
9,FL
10,
11,FL
12,FL
12,NY
13,MA
14,IL
15,FL
15,FL
15,FL
15,FL
15,FL
15,FL
16,MA
16,MA
17,MA
18,FL
19,FL
20,NJ
21,FL
22,GA
22,TN
22,NC
23,WI
24,FL
25,CA
26,CA
27,
28,TX
29,PA
30,PA
31,FL
32,FL
33,VA
33,DC
34,NJ
35,CA
36,CA
37,
38,
39,FL
40,AL
41,FL
42,VA
43,LA
44,PA
45,FL
46,AK
46,AK
46,AK
46,AK
46,AK
47,NJ
48,FL
48,NC
48,NJ
48,RI
48,MA
48,AZ
49,FL
50,FL
51,FL
52,FL
53,CA
54,NC
55,NY
56,FL
56,AL
56,GA
56,MO
57,FL
58,VA
59,SD
60,PA
60,NY
60,MA
61,PA
62,CA
63,FL
64,CA
65,TX
66,FL
67,TX
68,FL
69,FL
70,FL
71,VA
71,OH
72,FL
73,FL
74,FL
75,FL
76,FL
77,FL
78,FL
79,VA
80,FL
81,FL
82,FL
83,TX
84,FL
85,FL
86,FL
87,FL
88,FL
89,FL
90,FL
91,FL
92,FL
93,FL
94,FL
95,FL
96,FL
97,FL
98,FL
99,FL
100,FL
101,FL
102,FL
103,FL
104,FL
105,MA
106,FL
107,FL
108,FL
109,FL
109,FL
109,FL
109,FL
110,FL
111,FL
112,FL
113,FL
114,FL
115,CA
116,CA
117,CA
118,FL
119,FL
120,FL
121,FL
122,FL
123,FL
124,FL
125,FL
126,TN
127,FL
128,FL
129,FL
130,FL
131,FL
132,FL
133,FL
134,FL
135,NY
135,CT
136,CT
137,FL
138,IL
139,FL
140,FL
141,FL
142,FL
143,CA
143,CA
144,FL
145,FL
146,FL
147,FL
148,FL
149,FL
150,FL
151,FL
152,FL
153,IL
153,IA
153,IA
153,IA
153,IA
153,IA
153,IA
153,IA
153,IA
154,FL
155,FL
156,FL
157,FL
158,FL
159,FL
160,FL
161,FL
162,FL
163,FL
164,CA
165,FL
166,FL
167,FL
168,FL
169,FL
170,FL
171,FL
172,TX
173,FL
174,FL
175,FL
176,FL
177,NJ
177,NJ
178,CO
178,UT
178,WY
178,CA
179,FL
180,FL
181,FL
182,WI
183,NJ
184,NJ
185,FL
186,FL
187,FL
188,FL
189,FL
190,FL
191,FL
192,FL
193,FL
194,FL
195,FL
196,AK
196,AK
196,AK
196,AK
196,AK
196,AK
197,FL
198,FL
199,FL
200,FL
201,FL
202,CA
203,
204,FL
205,FL
206,FL
207,FL
208,FL
209,FL
210,FL
211,FL
212,FL
213,FL
214,FL
215,FL
216,FL
217,FL
218,FL
219,TX
220,FL
221,CA
222,FL
223,FL
224,FL
225,FL
226,FL
227,FL
228,CA
229,CA
230,CA
231,FL
232,FL
233,FL
234,FL
235,FL
236,FL
237,GA
238,NJ
239,CA
240,FL
241,FL
242,FL
243,FL
244,FL
245,FL
246,FL
247,FL
248,NJ
249,FL
250,FL
251,FL
252,FL
253,FL
254,FL
255,FL
256,NC
256,TX
256,IL
256,NY
256,CA
256,WA
257,FL
257,FL
257,FL
257,FL
257,FL
257,GA
257,FL
257,SC
257,AL
257,GA
257,AL
257,GA
257,GA
257,LA
257,NC
257,NC
257,MS
257,LA
257,TN
257,NC
257,TN
257,VA
257,WV
257,KY
257,VA
257,VA
257,AR
257,OH
257,TX
257,VA
257,OH
257,MD
257,DE
257,PA
257,DE
257,PA
257,IL
257,TX
257,PA
257,TX
257,OH
257,NJ
257,MI
257,IL
257,NY
257,MO
257,NY
257,KS
257,WI
257,KS
257,CT
257,WI
257,NY
257,MA
257,NE
257,NH
257,VT
257,MN
257,ME
257,TX
257,NM
257,CO
257,NM
257,SD
257,CO
257,WY
257,ND
257,AZ
257,MT
257,UT
257,ID
257,MT
257,CA
257,CA
257,ID
257,NV
257,CA
257,CA
257,OR
257,WA
257,WA
257,WA
257,AK
257,AK
257,HI
258,NJ
259,NJ
260,FL
261,ID
262,TN
263,DC
264,MO
265,IL
266,IL
267,VA
268,VA
269,GA
269,MO
269,PA
269,TX
269,MI
269,IL
269,NY
269,CA
270,VA
271,FL
272,NJ
273,FL
273,FL
273,FL
273,FL
273,FL
274,PA
274,TX
274,MI
274,IL
274,NY
274,CA
275,OH
276,MA
277,GA
278,FL
279,FL
280,FL
281,FL
282,FL
282,FL
282,FL
282,FL
282,FL
282,FL
283,GA
284,FL
285,NJ
286,MN
287,ID
288,VA
289,CA
290,NV
291,FL
292,FL
292,FL
292,FL
292,FL
292,FL
292,FL
293,FL
293,FL
293,FL
293,FL
293,FL
294,FL
294,FL
294,FL
294,FL
295,FL
295,FL
295,FL
295,FL
295,FL
296,FL
296,FL
296,FL
296,FL
296,FL
296,FL
296,FL
296,FL
297,NJ
298,CA
298,CA
298,CA
298,CA
298,CA
298,CA
298,CA
298,CA
299,FL
299,FL
300,FL
301,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
302,FL
303,FL
304,IN
304,IN
304,IN
304,IN
305,OH
306,CA
307,FL
308,FL
309,PA
310,NJ
